cluster,keyword,us_pop,us_diff,ca_pop,ca_diff,au_pop,au_diff,gb_pop,gb_diff
U1 Photo to PDF,photo to pdf,62,69,58,39,32,43,36,42
U1 Photo to PDF,image to pdf,54,52,8,19,8,17,8,23
U1 Photo to PDF,jpg to pdf,57,40,31,38,7,23,7,15
U1 Photo to PDF,pdf to jpg,5,17,5,21,5,39,5,17
U1 Photo to PDF,picture to pdf,9,48,9,23,11,48,8,44
U1 Photo to PDF,convert photo to pdf,36,21,5,17,5,21,5,19
U1 Photo to PDF,photos to pdf,58,45,37,21,51,17,6,23
U1 Photo to PDF,pdf to image,5,7,5,37,5,17,5,17
U2 Crop,crop photo,9,81,6,46,9,43,9,47
U2 Crop,photo crop,6,67,8,40,6,41,6,46
U2 Crop,crop image,5,42,5,23,5,39,5,23
U2 Crop,circle crop,5,15,5,7,5,7,5,7
U2 Crop,crop picture,5,57,5,46,5,49,5,19
U2 Crop,photo cropper,13,46,5,53,13,41,13,21
U2 Crop,cut photo,5,53,5,43,5,45,5,44
U3 Rotate / Flip / Mirror,rotate photo,5,17,5,9,5,13,5,13
U3 Rotate / Flip / Mirror,flip photo,5,21,5,9,5,11,5,15
U3 Rotate / Flip / Mirror,mirror photo,5,23,5,15,5,17,5,15
U3 Rotate / Flip / Mirror,mirror image,5,41,5,15,5,19,5,17
U3 Rotate / Flip / Mirror,flip image,5,19,5,17,5,42,5,11
U3 Rotate / Flip / Mirror,rotate image,5,17,5,7,5,21,5,7
U3 Rotate / Flip / Mirror,mirror picture,5,37,5,19,5,17,5,19
U4 Watermark,add watermark,9,39,5,15,6,15,8,19
U4 Watermark,watermark photo,17,42,17,17,5,13,5,41
U4 Watermark,watermark maker,26,62,5,23,26,19,26,43
U4 Watermark,watermark app,5,48,5,19,5,17,5,40
U4 Watermark,photo watermark,15,45,5,17,5,13,5,15
U4 Watermark,add logo to photo,5,15,5,38,5,44,5,39
U4 Watermark,copyright photo,5,13,5,13,5,11,5,9
U5 Metadata / EXIF,exif,24,35,6,9,5,11,5,17
U5 Metadata / EXIF,exif viewer,6,19,6,9,6,9,8,11
U5 Metadata / EXIF,photo metadata,5,21,5,11,5,11,5,11
U5 Metadata / EXIF,remove metadata,5,15,5,9,5,9,5,9
U5 Metadata / EXIF,exif editor,5,23,5,7,5,11,5,9
U5 Metadata / EXIF,photo location,5,23,5,17,5,13,5,19
U5 Metadata / EXIF,metadata remover,8,15,20,7,8,9,8,7
U5 Metadata / EXIF,photo info,5,21,5,33,5,33,5,36
U6 Blur / Censor,blur photo,55,65,32,21,8,21,58,50
U6 Blur / Censor,blur face,7,45,7,19,7,19,7,35
